generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.8181818181818182e-05,2e-05,1.828181818181818e-05,4.145095678247883e-07
1,343,1.8181818181818182e-05,2e-05,1.829090909090909e-05,4.317942577104378e-07
2,332,1.8181818181818182e-05,2e-05,1.8277272727272726e-05,4.055146714489661e-07
3,311,1.8181818181818182e-05,2e-05,1.825909090909091e-05,3.6677621704310884e-07
4,341,1.8181818181818182e-05,2e-05,1.83e-05,4.4822883765895627e-07
5,343,1.8181818181818182e-05,2e-05,1.8363636363636364e-05,5.454545454545605e-07
6,339,1.8181818181818182e-05,2e-05,1.8381818181818184e-05,5.688904671695267e-07
7,345,1.8181818181818182e-05,2e-05,1.8354545454545454e-05,5.331180695053022e-07
8,361,1.8181818181818182e-05,2e-05,1.836818181818182e-05,5.514631177585826e-07
9,337,1.8181818181818182e-05,2e-05,1.8404545454545455e-05,5.961134453016705e-07
10,350,1.8181818181818182e-05,2e-05,1.8454545454545456e-05,6.492207662311032e-07
11,342,1.8181818181818182e-05,2e-05,1.845e-05,6.44733912697156e-07
12,357,1.8181818181818182e-05,2e-05,1.8468181818181818e-05,6.623118787953998e-07
13,357,1.8181818181818182e-05,2e-05,1.8486363636363638e-05,6.789485064275299e-07
14,341,1.8181818181818182e-05,2e-05,1.852727272727273e-05,7.13274372579361e-07
15,342,1.8181818181818182e-05,2e-05,1.855e-05,7.306597267974009e-07
16,352,1.8181818181818182e-05,2e-05,1.8577272727272727e-05,7.500826400752144e-07
17,318,1.8181818181818182e-05,2e-05,1.8531818181818184e-05,7.168428254252365e-07
18,340,1.8181818181818182e-05,2e-05,1.8572727272727275e-05,7.469497200598211e-07
19,329,1.8181818181818182e-05,2e-05,1.860909090909091e-05,7.709069468237531e-07
20,349,1.8181818181818182e-05,2e-05,1.8595454545454547e-05,7.622145855204538e-07
21,330,1.8181818181818182e-05,2e-05,1.860909090909091e-05,7.709069468237531e-07
22,318,1.8181818181818182e-05,2e-05,1.8622727272727273e-05,7.792637975138593e-07
23,355,1.8181818181818182e-05,2e-05,1.8613636363636366e-05,7.737292968431308e-07
24,335,1.8181818181818182e-05,2e-05,1.860909090909091e-05,7.709069468237531e-07
25,350,1.8181818181818182e-05,2e-05,1.8636363636363638e-05,7.872958216221922e-07
26,354,1.8181818181818182e-05,2e-05,1.8640909090909093e-05,7.899027034968517e-07
27,344,1.8181818181818182e-05,2e-05,1.8713636363636365e-05,8.271103736793027e-07
28,332,1.8181818181818182e-05,2e-05,1.8781818181818183e-05,8.549322142187908e-07
29,341,1.8181818181818182e-05,2e-05,1.8781818181818183e-05,8.549322142187908e-07
30,330,1.8181818181818182e-05,2e-05,1.8840909090909094e-05,8.740402055921954e-07
31,336,1.8181818181818182e-05,2e-05,1.883636363636364e-05,8.727272727272258e-07
32,346,1.8181818181818182e-05,2e-05,1.8790909090909093e-05,8.581644836461539e-07
33,323,1.8181818181818182e-05,2e-05,1.8845454545454546e-05,8.753275656047007e-07
34,349,1.8181818181818182e-05,2e-05,1.883636363636364e-05,8.727272727272258e-07
35,329,1.8181818181818182e-05,2e-05,1.8840909090909094e-05,8.740402055921954e-07
36,344,1.8181818181818182e-05,2e-05,1.8909090909090912e-05,8.907235428302035e-07
37,331,1.8181818181818182e-05,2e-05,1.893181818181818e-05,8.950622121598463e-07
38,345,1.8181818181818182e-05,2e-05,1.9104545454545455e-05,9.089886306101789e-07
39,344,1.8181818181818182e-05,2e-05,1.915e-05,9.071684217688123e-07
40,352,1.8181818181818182e-05,2e-05,1.910909090909091e-05,9.089090727236184e-07
41,344,1.8181818181818182e-05,2e-05,1.9190909090909093e-05,9.0357417016631e-07
42,333,1.8181818181818182e-05,2e-05,1.9186363636363638e-05,9.040656562129495e-07
43,352,1.8181818181818182e-05,2e-05,1.921818181818182e-05,9.001377305081095e-07
44,336,1.8181818181818182e-05,2e-05,1.926818181818182e-05,8.916393111326004e-07
45,337,1.8181818181818182e-05,2e-05,1.9254545454545455e-05,8.942423728987731e-07
46,336,1.8181818181818182e-05,2e-05,1.926818181818182e-05,8.916393111326004e-07
47,365,1.8181818181818182e-05,2e-05,1.9277272727272727e-05,8.897836119153772e-07
48,325,1.8181818181818182e-05,2e-05,1.9336363636363638e-05,8.753275656047007e-07
49,330,1.8181818181818182e-05,2e-05,1.9363636363636364e-05,8.672174558336119e-07
50,347,1.8181818181818182e-05,2e-05,1.9413636363636365e-05,8.498784550920905e-07
51,339,1.8181818181818182e-05,2e-05,1.9381818181818184e-05,8.612886750782899e-07
52,339,1.8181818181818182e-05,2e-05,1.935909090909091e-05,8.686338661302859e-07
53,347,1.8181818181818182e-05,2e-05,1.9363636363636364e-05,8.672174558336119e-07
54,340,1.8181818181818182e-05,2e-05,1.939090909090909e-05,8.581644836462442e-07
55,352,1.8181818181818182e-05,2e-05,1.9413636363636365e-05,8.498784550920905e-07
56,337,1.8181818181818182e-05,2e-05,1.9440909090909092e-05,8.39015066009993e-07
57,336,1.8181818181818182e-05,2e-05,1.9522727272727274e-05,7.999870866726137e-07
58,350,1.8181818181818182e-05,2e-05,1.954090909090909e-05,7.8990270349695e-07
59,325,1.8181818181818182e-05,2e-05,1.9536363636363636e-05,7.92474938989032e-07
60,359,1.8181818181818182e-05,2e-05,1.9654545454545455e-05,7.132743725793972e-07
61,347,1.8181818181818182e-05,2e-05,1.9650000000000003e-05,7.168428254252005e-07
62,335,1.8181818181818182e-05,2e-05,1.9640909090909093e-05,7.238413368906946e-07
63,346,1.8181818181818182e-05,2e-05,1.97e-05,6.748737255624334e-07
64,348,1.8181818181818182e-05,2e-05,1.9695454545454546e-05,6.789485064275679e-07
65,340,1.8181818181818182e-05,2e-05,1.9740909090909092e-05,6.355676840366513e-07
66,338,1.8181818181818182e-05,2e-05,1.9722727272727276e-05,6.536452142528272e-07
67,344,1.8181818181818182e-05,2e-05,1.9709090909090908e-05,6.665564647209429e-07
68,335,1.8181818181818182e-05,2e-05,1.9722727272727276e-05,6.536452142528272e-07
69,326,1.8181818181818182e-05,2e-05,1.979545454545455e-05,5.745102118074168e-07
70,327,1.8181818181818182e-05,2e-05,1.9745454545454544e-05,6.308855117418822e-07
71,342,1.8181818181818182e-05,2e-05,1.967272727272727e-05,6.985226440836546e-07
72,356,1.8181818181818182e-05,2e-05,1.967272727272727e-05,6.985226440836546e-07
73,328,1.8181818181818182e-05,2e-05,1.9727272727272728e-05,6.492207662312226e-07
74,316,1.8181818181818182e-05,2e-05,1.9704545454545456e-05,6.707433892442941e-07
75,331,1.8181818181818182e-05,2e-05,1.9731818181818182e-05,6.447339126971961e-07
76,348,1.8181818181818182e-05,2e-05,1.9740909090909092e-05,6.355676840366513e-07
77,340,1.8181818181818182e-05,2e-05,1.9772727272727274e-05,6.013071161510531e-07
78,343,1.8181818181818182e-05,2e-05,1.978636363636364e-05,5.854820716284188e-07
79,345,1.8181818181818182e-05,2e-05,1.978636363636364e-05,5.854820716284188e-07
80,353,1.8181818181818182e-05,2e-05,1.9818181818181817e-05,5.45454545454608e-07
81,336,1.8181818181818182e-05,2e-05,1.979090909090909e-05,5.80039896034624e-07
82,329,1.8181818181818182e-05,2e-05,1.980909090909091e-05,5.573698565807012e-07
83,345,1.8181818181818182e-05,2e-05,1.9772727272727274e-05,6.013071161510531e-07
84,341,1.8181818181818182e-05,2e-05,1.976818181818182e-05,6.064222405917937e-07
85,345,1.8181818181818182e-05,2e-05,1.9763636363636364e-05,6.114607898473117e-07
86,343,1.8181818181818182e-05,2e-05,1.9731818181818182e-05,6.447339126971961e-07
87,366,1.8181818181818182e-05,2e-05,1.9763636363636364e-05,6.114607898473117e-07
88,345,1.8181818181818182e-05,2e-05,1.9740909090909092e-05,6.355676840366513e-07
89,366,1.8181818181818182e-05,2e-05,1.9763636363636364e-05,6.114607898473117e-07
90,346,1.8181818181818182e-05,2e-05,1.9754545454545454e-05,6.213155863579484e-07
91,360,1.8181818181818182e-05,2e-05,1.976818181818182e-05,6.064222405917937e-07
92,351,1.8181818181818182e-05,2e-05,1.9754545454545454e-05,6.213155863579484e-07
93,339,1.8181818181818182e-05,2e-05,1.9727272727272728e-05,6.492207662312226e-07
94,342,1.8181818181818182e-05,2e-05,1.979090909090909e-05,5.80039896034624e-07
95,332,1.8181818181818182e-05,2e-05,1.9827272727272727e-05,5.331180695053991e-07
96,335,1.8181818181818182e-05,2e-05,1.985e-05,5.002272210978441e-07
97,339,1.8181818181818182e-05,2e-05,1.9895454545454548e-05,4.2326456568199883e-07
98,347,1.8181818181818182e-05,2e-05,1.9904545454545458e-05,4.0551467144883856e-07
99,346,1.8181818181818182e-05,2e-05,1.992727272727273e-05,3.562894171320553e-07
100,338,1.8181818181818182e-05,2e-05,1.9904545454545458e-05,4.0551467144883856e-07
101,332,1.8181818181818182e-05,2e-05,1.9922727272727274e-05,3.6677621704310884e-07
102,341,1.8181818181818182e-05,2e-05,1.992727272727273e-05,3.562894171320553e-07
103,335,1.8181818181818182e-05,2e-05,1.991818181818182e-05,3.769165898477532e-07
104,331,1.8181818181818182e-05,2e-05,1.9872727272727273e-05,4.6390366626085097e-07
105,345,1.8181818181818182e-05,2e-05,1.9890909090909093e-05,4.3179425771049766e-07
106,342,1.8181818181818182e-05,2e-05,1.9886363636363638e-05,4.401117438871633e-07
107,339,1.8181818181818182e-05,2e-05,1.991818181818182e-05,3.769165898477532e-07
108,345,1.8181818181818182e-05,2e-05,1.992727272727273e-05,3.562894171320553e-07
