generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,358,5.382182354306786e-06,7.64115860772763e-06,6.2907719017367175e-06,3.609070741797705e-07
1,359,5.278739946952923e-06,7.64115860772763e-06,6.30055306851866e-06,3.5970785175432606e-07
2,351,5.278739946952923e-06,7.64115860772763e-06,6.307210325875784e-06,3.66633634533862e-07
3,351,5.278739946952923e-06,7.64115860772763e-06,6.315161363297177e-06,3.577601832823266e-07
4,346,5.520314197238808e-06,7.64115860772763e-06,6.326065925371462e-06,3.522850071954682e-07
5,350,5.520314197238808e-06,7.64115860772763e-06,6.321117060374225e-06,3.581293642204407e-07
6,354,5.585625393319684e-06,7.51218946836815e-06,6.3264951623739205e-06,3.560414283794494e-07
7,361,5.491498722783998e-06,7.249824121088562e-06,6.3108849067988055e-06,3.45505919722039e-07
8,369,5.598281486022256e-06,7.31395234475515e-06,6.3233590012958704e-06,3.315244183014778e-07
9,369,5.631845232644385e-06,7.592252943426418e-06,6.349859201229896e-06,3.2113278476791896e-07
10,361,5.5280742032723035e-06,7.592252943426418e-06,6.34518425158785e-06,3.190807530141924e-07
11,363,5.332864335266339e-06,7.161928443008894e-06,6.347193042022677e-06,3.216799718330378e-07
12,349,5.332864335266339e-06,7.197352992345598e-06,6.363188964208355e-06,3.1276392503106647e-07
13,340,5.332864335266339e-06,7.197352992345598e-06,6.371387053569863e-06,3.126808334542455e-07
14,350,5.530141985902267e-06,7.23274500911134e-06,6.363638685795357e-06,2.9552741009675485e-07
15,348,5.3176656877425324e-06,7.197352992345598e-06,6.3643244071305645e-06,3.09557879160578e-07
16,357,5.3176656877425324e-06,7.706801533926107e-06,6.368307519374951e-06,3.2261515204381246e-07
17,351,5.3176656877425324e-06,7.706801533926107e-06,6.3611086914183185e-06,3.263184237738983e-07
18,360,5.3176656877425324e-06,7.706801533926107e-06,6.372144889286584e-06,3.389509440425805e-07
19,351,5.3176656877425324e-06,7.706801533926107e-06,6.386045309368167e-06,3.3869990262824883e-07
20,345,5.656263254312612e-06,7.693052714624203e-06,6.385869802067539e-06,3.369778244983533e-07
21,355,5.634706201275233e-06,7.693052714624203e-06,6.401917669545171e-06,3.444511805161876e-07
22,362,5.634706201275233e-06,7.693052714624203e-06,6.422949351921435e-06,3.694829909558397e-07
23,365,5.656263254312612e-06,7.693052714624203e-06,6.441363479039495e-06,3.781854030656526e-07
24,351,5.73059196302399e-06,7.693052714624203e-06,6.467115906875607e-06,3.855514276055425e-07
25,359,5.654361676743662e-06,7.603702696451547e-06,6.421953593757914e-06,3.6438476637280304e-07
26,365,5.654361676743662e-06,7.454746606765959e-06,6.447026523268501e-06,3.619429274e-07
27,360,5.654361676743662e-06,7.539098417489656e-06,6.45394858084269e-06,3.635267420158379e-07
28,351,5.389152364827972e-06,7.539098417489656e-06,6.472392986780239e-06,3.810094488303046e-07
29,352,5.389152364827972e-06,7.454746606765959e-06,6.441772844611722e-06,3.873565633043462e-07
30,351,5.389152364827972e-06,7.647496492400276e-06,6.460940141146864e-06,3.7646050624805525e-07
31,356,5.668178786678703e-06,7.454746606765959e-06,6.471290003525657e-06,3.66459297081412e-07
32,361,5.604644352227174e-06,7.454746606765959e-06,6.4781318917351725e-06,3.726018621568023e-07
33,360,5.604644352227174e-06,7.502730282058151e-06,6.485820462458734e-06,3.6270781979820227e-07
34,362,5.584280191582897e-06,7.577209918185719e-06,6.514876224088751e-06,3.8123609555847943e-07
35,361,5.566492941473253e-06,7.5641911157417955e-06,6.53403437322027e-06,3.797756003797582e-07
36,366,5.566492941473253e-06,7.5641911157417955e-06,6.550991537579732e-06,3.8342462039901303e-07
37,361,5.844051253482242e-06,7.805432924271743e-06,6.585046082655747e-06,3.8417422921980433e-07
38,349,5.750501240225419e-06,7.805432924271743e-06,6.577664889069187e-06,3.8726567235969325e-07
39,351,5.6916251911137695e-06,7.805432924271743e-06,6.601438801855283e-06,3.8836821523376575e-07
40,365,5.868020713817646e-06,7.805432924271743e-06,6.634189640178047e-06,3.9661828470547324e-07
41,369,5.706856952599533e-06,7.750665264785914e-06,6.618339608519894e-06,3.8335527383107005e-07
42,348,5.755373126525888e-06,7.750665264785914e-06,6.611672267741274e-06,3.905594770530501e-07
43,340,5.32086241811262e-06,7.740236147707084e-06,6.604519290479742e-06,4.030328512242883e-07
44,353,5.32086241811262e-06,7.740236147707084e-06,6.58442356580508e-06,4.150538614957222e-07
45,373,5.32086241811262e-06,7.751051688681026e-06,6.608819991633234e-06,3.933871887999573e-07
46,346,5.7618688974683076e-06,7.751051688681026e-06,6.596076063107457e-06,3.950393269707503e-07
47,350,5.675524542446728e-06,7.751051688681026e-06,6.589961910436539e-06,4.1853713076304916e-07
48,358,5.675524542446728e-06,7.751051688681026e-06,6.573206451161783e-06,3.979895631155255e-07
49,352,5.618383286760927e-06,7.810908582924046e-06,6.6054215670163e-06,3.9994026213136313e-07
50,353,5.640197750760308e-06,7.75192534299411e-06,6.602566090657221e-06,4.0124330986821263e-07
51,353,5.640675646066901e-06,7.75192534299411e-06,6.615775477221536e-06,4.0460117979872285e-07
52,346,5.526720043223731e-06,7.75192534299411e-06,6.65258010181376e-06,4.1349718576946304e-07
53,354,5.448776532496227e-06,7.75192534299411e-06,6.657415525663609e-06,4.091692877493115e-07
54,362,5.818553472632115e-06,7.751051688681026e-06,6.65008267229263e-06,3.853038301898377e-07
55,354,5.818553472632115e-06,7.862420075973349e-06,6.6957461195940465e-06,3.9145143787511823e-07
56,368,5.670095669463683e-06,8.083015979573501e-06,6.75250954260677e-06,4.143607919554629e-07
57,370,5.670095669463683e-06,8.083015979573501e-06,6.733291247447666e-06,4.1534846198189716e-07
58,365,5.670095669463683e-06,8.083015979573501e-06,6.754133431330951e-06,4.1034307059424007e-07
59,375,5.803641054210102e-06,8.083015979573501e-06,6.761154811441873e-06,3.964034113840108e-07
60,357,5.636689720567595e-06,7.862420075973349e-06,6.7694103378158304e-06,4.052909646756182e-07
61,360,5.61723606641308e-06,7.878942991996251e-06,6.746464283460633e-06,4.1052625231589254e-07
62,371,5.72097274884399e-06,7.878942991996251e-06,6.7857231096107895e-06,4.038842487680913e-07
63,350,5.586875340730383e-06,7.878942991996251e-06,6.7743713786332054e-06,4.079815939715679e-07
64,359,5.8172180187799385e-06,7.878942991996251e-06,6.7276602224674e-06,4.235754507115143e-07
65,358,5.740036828705928e-06,7.886760467668955e-06,6.704796184150534e-06,4.3375082017427453e-07
66,353,5.697061509767826e-06,8.088268153983325e-06,6.741655239625476e-06,4.3278269724848916e-07
67,338,5.697061509767826e-06,8.088268153983325e-06,6.711981346915334e-06,4.426678687894208e-07
68,350,5.212987686094674e-06,8.088268153983325e-06,6.755692109793038e-06,4.511282226762195e-07
69,352,5.697061509767826e-06,8.088268153983325e-06,6.733111663189306e-06,4.4189992985701726e-07
70,361,5.697061509767826e-06,8.08937720569131e-06,6.739818696958536e-06,4.3599609969021107e-07
71,348,5.729640029972538e-06,8.14561509354639e-06,6.764314648265638e-06,4.587047372860676e-07
72,354,5.80202607944785e-06,8.183552340075374e-06,6.77208339858689e-06,4.41899743658919e-07
73,351,5.7445270102892424e-06,8.183552340075374e-06,6.746898100626358e-06,4.1647705928606527e-07
74,352,5.7445270102892424e-06,8.183552340075374e-06,6.743464407538859e-06,4.2762439510065734e-07
75,352,5.7445270102892424e-06,8.183552340075374e-06,6.752955891230372e-06,4.505788626817725e-07
76,360,5.7445270102892424e-06,8.663690951621839e-06,6.732282387766975e-06,4.4467073599643965e-07
77,362,5.726027130081994e-06,8.663690951621839e-06,6.726476294202996e-06,4.423199117813053e-07
78,347,5.7703441966144795e-06,8.663690951621839e-06,6.711691457185868e-06,4.771977948001769e-07
79,350,5.7880458590384366e-06,8.663690951621839e-06,6.696777544589403e-06,4.736161913906266e-07
80,339,5.7880458590384366e-06,8.663690951621839e-06,6.698885129441139e-06,4.998307948759454e-07
81,365,5.752230550511292e-06,8.663690951621839e-06,6.708382892470645e-06,4.93285239794772e-07
82,358,5.736207136858319e-06,8.663690951621839e-06,6.735988149715735e-06,5.117494402182162e-07
83,347,5.452445330653036e-06,8.663690951621839e-06,6.74327730534188e-06,5.045134578943189e-07
84,364,5.695899065440897e-06,8.663690951621839e-06,6.750655185595235e-06,4.992675448883489e-07
85,341,5.694253131166147e-06,8.836023716265557e-06,6.802056463612465e-06,5.070985128059701e-07
86,360,5.451105252341027e-06,8.79572963034897e-06,6.794478517249337e-06,4.913519403927999e-07
87,352,5.451105252341027e-06,8.79572963034897e-06,6.803693978905811e-06,4.534277454746886e-07
88,351,5.798937425438649e-06,8.79572963034897e-06,6.813899408084467e-06,4.3685635372006833e-07
89,361,5.634773178513676e-06,8.663690951621839e-06,6.806180355331112e-06,4.562454760377179e-07
90,351,5.484057599719081e-06,8.663690951621839e-06,6.810889505484037e-06,4.866889984069055e-07
91,351,5.872471608590948e-06,8.663690951621839e-06,6.8327718251448196e-06,5.117103046361588e-07
92,358,5.797177902583483e-06,8.663690951621839e-06,6.837039974162361e-06,5.545939632295287e-07
93,359,5.797177902583483e-06,8.674349896762263e-06,6.904814920266939e-06,5.852637896481326e-07
94,357,5.797177902583483e-06,8.757602521825206e-06,6.883481735386131e-06,5.443628340476675e-07
95,358,5.713830123568103e-06,8.674349896762263e-06,6.910905360170781e-06,4.896966555941491e-07
96,363,5.709215194723957e-06,8.690504395194575e-06,6.93439384707116e-06,4.813349474622368e-07
97,355,5.3937940312854755e-06,8.690504395194575e-06,6.899389436335173e-06,4.945461242770642e-07
98,363,5.7317222677988225e-06,8.564295154383718e-06,6.878870505305688e-06,4.687042899327552e-07
99,358,5.762122246687997e-06,7.861023145463026e-06,6.8828337349451365e-06,4.224962636011435e-07
100,348,5.969383133930426e-06,7.924454433424581e-06,6.890302990114423e-06,4.1385485705948533e-07
101,352,5.7186105551662015e-06,8.093707480505048e-06,6.8946275443308206e-06,4.216253512518612e-07
102,356,5.7186105551662015e-06,8.093707480505048e-06,6.891385042458181e-06,4.347979934262454e-07
103,361,5.7186105551662015e-06,8.189185086018085e-06,6.860255628565449e-06,4.74263815509353e-07
104,358,5.582632831958278e-06,8.26180258369824e-06,6.839117593934065e-06,4.79110130030347e-07
105,368,5.582632831958278e-06,8.404356345138069e-06,6.8270954829393855e-06,4.8946067980948e-07
106,352,5.691374699741392e-06,8.404356345138069e-06,6.802722914968366e-06,4.6350972150486885e-07
107,345,5.691374699741392e-06,8.404356345138069e-06,6.833219509692036e-06,4.6407533197905263e-07
108,365,5.517368547406554e-06,8.404356345138069e-06,6.869544082152636e-06,5.050604357565978e-07
109,346,5.517368547406554e-06,8.404356345138069e-06,6.838026216899312e-06,5.043972188730815e-07
110,345,5.673951500413447e-06,8.404356345138069e-06,6.862969714728704e-06,5.16451417893626e-07
111,358,5.673951500413447e-06,8.404356345138069e-06,6.907196960374459e-06,5.34651397328391e-07
112,358,5.673951500413447e-06,8.404356345138069e-06,6.929220791034582e-06,4.993181070939592e-07
113,360,5.621561741748863e-06,8.404356345138069e-06,6.934834795520983e-06,5.177580309983844e-07
114,358,5.621561741748863e-06,8.404356345138069e-06,6.985485007824605e-06,5.228503939876663e-07
115,362,5.621561741748863e-06,8.404356345138069e-06,6.977626009090639e-06,5.124540722778612e-07
116,352,5.621561741748863e-06,8.404356345138069e-06,7.001797633215607e-06,5.354354958514617e-07
117,347,5.811659524917281e-06,8.404356345138069e-06,7.002173601484567e-06,5.437381699851544e-07
118,345,5.811659524917281e-06,8.404356345138069e-06,7.070249715303824e-06,5.892493662866647e-07
119,363,5.505692853678644e-06,8.644472658072296e-06,7.06644687129938e-06,6.078399505245952e-07
120,362,5.505692853678644e-06,8.644472658072296e-06,7.092327162714109e-06,6.198669776478207e-07
121,356,5.505692853678644e-06,8.644472658072296e-06,7.0875287979484224e-06,5.868539708410758e-07
122,368,5.7881676699082855e-06,8.414617842323331e-06,7.076661404635521e-06,5.76175614807651e-07
123,363,5.64538168405254e-06,8.414617842323331e-06,7.112654922646812e-06,5.677915336394136e-07
124,369,5.64538168405254e-06,8.414617842323331e-06,7.134996725290399e-06,5.808209030075655e-07
125,346,5.725487189173088e-06,8.414617842323331e-06,7.103288079075327e-06,5.672814837171838e-07
126,349,5.840043601626105e-06,8.404356345138069e-06,7.097444625628236e-06,5.712352301382526e-07
127,356,5.846182686557298e-06,8.404356345138069e-06,7.103120879155465e-06,5.691194174772783e-07
128,357,5.677907894845263e-06,8.515869367439214e-06,7.116815358475411e-06,5.464230459294432e-07
129,355,5.677907894845263e-06,8.404356345138069e-06,7.071419010286369e-06,5.387531753140639e-07
130,354,5.719726314729017e-06,8.375108650755734e-06,7.048881502911921e-06,5.389298713682207e-07
131,372,5.926009543093761e-06,8.502016683340853e-06,7.001847686097647e-06,5.29271427485318e-07
132,361,5.800759635944368e-06,8.502016683340853e-06,7.0225037291556774e-06,5.337975090817514e-07
133,356,5.831628290261178e-06,8.502016683340853e-06,7.0433232666025965e-06,5.09536350012759e-07
134,355,5.820532567457161e-06,8.502016683340853e-06,7.092655430176567e-06,5.314235764666954e-07
135,343,5.820532567457161e-06,8.878827623679306e-06,7.092977704369263e-06,5.305591802053185e-07
136,349,5.820532567457161e-06,8.410468091610338e-06,7.082174238441539e-06,5.398864475755455e-07
137,335,5.741663769324863e-06,8.410468091610338e-06,7.103356495347799e-06,5.484908218143044e-07
138,358,5.741663769324863e-06,8.457713861395815e-06,7.081037883789898e-06,5.225360827355735e-07
139,351,5.741663769324863e-06,8.457713861395815e-06,7.044775105176857e-06,5.000915724099064e-07
140,354,5.831840042541556e-06,8.341577849971549e-06,7.027529494894086e-06,4.832682362409927e-07
141,369,5.7776618112842586e-06,8.428587272732949e-06,6.965335198097826e-06,4.691408648011873e-07
142,358,5.627944626801939e-06,8.364086685962866e-06,6.940680946914047e-06,4.687076367261201e-07
143,363,5.673773401369836e-06,8.341577849971549e-06,6.939944150863888e-06,4.977621009899837e-07
144,350,5.839414686261737e-06,8.341577849971549e-06,6.97410087020062e-06,5.023984480028532e-07
145,356,5.8403003302645055e-06,8.361013608094162e-06,6.968844375169975e-06,4.928637617513409e-07
146,363,5.822694681463832e-06,8.341577849971549e-06,6.949508273674003e-06,4.95135564247509e-07
147,366,5.948626703721956e-06,8.290860677980339e-06,6.935606581328468e-06,4.864025179239011e-07
148,358,5.833666518979947e-06,8.538336426779313e-06,6.919473006150281e-06,5.061383639196218e-07
149,376,5.792486849412901e-06,8.399346060515829e-06,6.913023052886703e-06,5.051288209387943e-07
150,362,5.935431961106023e-06,8.4581098635291e-06,6.919149330615863e-06,4.993679231691287e-07
151,359,5.863213144446635e-06,8.290581377609229e-06,6.946748785129768e-06,4.962814520152153e-07
152,358,5.954629680280079e-06,8.757739426564279e-06,6.976900412124706e-06,5.101332756254044e-07
153,352,5.848389719359577e-06,8.757739426564279e-06,6.990398850208477e-06,4.918186669912338e-07
154,374,5.844078520134389e-06,8.757739426564279e-06,6.973335455240191e-06,4.986914410332597e-07
155,362,5.844078520134389e-06,8.757739426564279e-06,6.991529032592323e-06,4.973907414755386e-07
