generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,2.364770197096582e-05,2.8677917642950603e-05,2.5929068591568845e-05,8.335694806637081e-07
1,343,2.364770197096582e-05,2.8677917642950603e-05,2.5945763742060713e-05,8.647722790496525e-07
2,332,2.364770197096582e-05,2.8677917642950603e-05,2.593008536582195e-05,8.360254932688573e-07
3,311,2.3942408687632234e-05,2.8677917642950603e-05,2.59098177497412e-05,7.817176343850748e-07
4,341,2.3942408687632234e-05,2.8677917642950603e-05,2.593793044163175e-05,8.040072858300181e-07
5,343,2.3942408687632234e-05,2.8677917642950603e-05,2.5994842936364043e-05,8.437765506421638e-07
6,339,2.3942408687632234e-05,2.8677917642950603e-05,2.603485805923565e-05,8.428341505783314e-07
7,345,2.3942408687632234e-05,2.8677917642950603e-05,2.6005768129589414e-05,8.010578924142282e-07
8,361,2.3942408687632234e-05,2.8677917642950603e-05,2.5993674154083174e-05,8.612829313425955e-07
9,337,2.3942408687632234e-05,2.8677917642950603e-05,2.600930420859903e-05,8.157375525304528e-07
10,350,2.3942408687632234e-05,2.8677917642950603e-05,2.6079147552965183e-05,8.503872193090953e-07
11,342,2.3942408687632234e-05,2.8677917642950603e-05,2.6106850200930265e-05,8.405673529381896e-07
12,357,2.3942408687632234e-05,2.8677917642950603e-05,2.615730031812625e-05,7.988206118904795e-07
13,357,2.3942408687632234e-05,2.8677917642950603e-05,2.6149852245125196e-05,8.623189121504268e-07
14,341,2.3942408687632234e-05,2.8677917642950603e-05,2.620231933658189e-05,8.844940486239544e-07
15,342,2.3942408687632234e-05,2.8677917642950603e-05,2.621036221625989e-05,9.394386372914585e-07
16,352,2.3942408687632234e-05,2.8677917642950603e-05,2.6249807006541147e-05,9.56782081640006e-07
17,318,2.3942408687632234e-05,2.8677917642950603e-05,2.6183103167569865e-05,9.528689790725946e-07
18,340,2.3942408687632234e-05,2.8677917642950603e-05,2.6247529086841513e-05,9.65598185921367e-07
19,329,2.3942408687632234e-05,2.8677917642950603e-05,2.6246797003702892e-05,9.843538399543472e-07
20,349,2.3942408687632234e-05,2.902767994921442e-05,2.625715066219231e-05,1.0121135231753365e-06
21,330,2.4360166502360944e-05,2.902767994921442e-05,2.6299133821298366e-05,1.0151858125750524e-06
22,318,2.4533322566702116e-05,2.902767994921442e-05,2.6349410684474243e-05,1.0752644901833475e-06
23,355,2.4533322566702116e-05,2.902767994921442e-05,2.636814372128755e-05,1.0799005913585367e-06
24,335,2.4533322566702116e-05,2.9124785079618686e-05,2.6384588966728158e-05,1.0530399236333685e-06
25,350,2.4533322566702116e-05,2.9124785079618686e-05,2.6354863025426597e-05,1.0594640284564948e-06
26,354,2.4533322566702116e-05,2.9152673622275563e-05,2.636333309671735e-05,1.0804685014654485e-06
27,344,2.4533322566702116e-05,2.9152673622275563e-05,2.6406666787682524e-05,1.1028431087967132e-06
28,332,2.4533322566702116e-05,2.9152673622275563e-05,2.6494163114557096e-05,1.1474702919622408e-06
29,341,2.4533322566702116e-05,2.9124785079618686e-05,2.651451843302756e-05,1.1165003236122426e-06
30,330,2.4533322566702116e-05,2.9124785079618686e-05,2.6617631112188445e-05,1.1640263904256324e-06
31,336,2.4533322566702116e-05,2.9124785079618686e-05,2.663528371607206e-05,1.244262942397669e-06
32,346,2.4533322566702116e-05,2.9124785079618686e-05,2.6541953341458523e-05,1.2243903964880093e-06
33,323,2.4451759548011794e-05,2.9124785079618686e-05,2.6598710992918818e-05,1.2548355365944545e-06
34,349,2.4515861526645425e-05,2.9124785079618686e-05,2.657137787751659e-05,1.1842677969519965e-06
35,329,2.4515861526645425e-05,2.9124785079618686e-05,2.657301796548539e-05,1.186051059263851e-06
36,344,2.4533322566702116e-05,2.9229123926876242e-05,2.669444642369154e-05,1.2164035083991437e-06
37,331,2.4533322566702116e-05,2.9229123926876242e-05,2.67532092432197e-05,1.2618757391503688e-06
38,345,2.4533322566702116e-05,2.9124785079618686e-05,2.6976761985944513e-05,1.2875972265958827e-06
39,344,2.4608181295433773e-05,2.9124785079618686e-05,2.7059700324204725e-05,1.267767156208452e-06
40,352,2.4608181295433773e-05,2.9124785079618686e-05,2.7080809281888846e-05,1.2277665215982786e-06
41,344,2.4608181295433773e-05,2.9124785079618686e-05,2.7194975462364875e-05,1.1690001498316542e-06
42,333,2.4608181295433773e-05,2.9124785079618686e-05,2.722337534461703e-05,1.1778298956947359e-06
43,352,2.4608181295433773e-05,2.9124785079618686e-05,2.7241429388124543e-05,1.1289075384771819e-06
44,336,2.4608181295433773e-05,2.9124785079618686e-05,2.7293298673904823e-05,1.0987838660153295e-06
45,337,2.4608181295433773e-05,2.9124785079618686e-05,2.7267701948927686e-05,1.1213224695104774e-06
46,336,2.4608181295433773e-05,2.9124785079618686e-05,2.7296692104356794e-05,1.1519758772821691e-06
47,365,2.4608181295433773e-05,2.9124785079618686e-05,2.7290221972688268e-05,1.17906330356705e-06
48,325,2.4425919152098557e-05,2.9124785079618686e-05,2.7322650451204153e-05,1.199047727783902e-06
